"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"74","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1781","7","90","70","491","138","6273.5","498"
"75","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1621","13","82","39","485","70","5550","498"
"76","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1681","16","85","101","481","215","5661.5","497"
"79","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1541","13","78","51","485","91","5288","498"
"80","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1201","11","61","70","474","140","4170","485"
"77","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2021","11","102","51","480","109","6933.5","491"
"84","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","981","16","50","36","473","69","3378.5","489"
"82","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1581","7","80","52","487","110","5575.5","494"
"81","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1681","8","85","54","485","108","5877.5","493"
"85","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","901","7","46","137","476","255","3206.5","483"
"83","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2181","11","110","48","486","89","7453","497"
"86","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1601","11","81","72","482","137","5557","493"
"87","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1821","16","92","43","481","78","6091","497"
"88","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1701","12","86","39","479","75","5837","491"
"93","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1261","12","64","54","478","101","4350","490"
"89","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1781","17","90","46","476","84","5970","493"
"91","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1821","10","92","107","486","201","6310","496"
"90","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1821","10","92","72","484","150","6287.5","494"
"95","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1401","15","71","40","478","67","4757","493"
"92","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1901","13","96","36","480","74","6464","493"
"96","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1121","12","57","129","478","246","3940.5","490"
"94","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2261","14","114","91","485","160","7621.5","499"
"97","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1561","14","79","98","481","171","5309","495"
"99","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1261","14","64","38","472","88","4337.5","486"
"100","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1081","17","55","34","469","71","3705.5","486"
"102","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1221","16","62","54","478","101","4117.5","494"
"98","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1981","12","100","38","482","75","6758","494"
"103","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1441","9","73","61","482","116","4860","491"
"106","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1001","11","51","69","482","125","3375","493"
"101","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1821","6","92","136","484","243","6142.5","490"
"105","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1201","11","61","88","478","172","4050","489"
"104","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1961","12","99","61","485","119","6615","497"
"109","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1001","16","51","57","477","114","3375","493"
"107","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2121","11","107","93","487","178","7155","498"
"110","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1781","13","90","38","478","90","6007.5","491"
"108","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2041","9","103","46","487","95","6885","496"
"111","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1721","9","87","60","491","115","5805","500"
"114","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1281","12","65","52","468","108","4320","480"
"116","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1421","11","72","53","482","94","4792.5","493"
"112","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2161","8","109","71","488","123","7290","496"
"118","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1341","10","68","42","482","105","4522.5","492"
"113","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2341","11","118","117","487","236","7897.5","498"
"115","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2181","12","110","59","484","105","7357.5","496"
"117","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2141","11","108","46","485","82","7222.5","496"
"119","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1321","8","67","39","487","96","4455","495"
"120","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1961","12","99","89","479","166","6547.5","491"
"121","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1101","18","56","39","475","93","3712.5","493"
"122","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1901","15","96","76","482","133","6412.5","497"
"123","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1601","6","81","57","481","104","5400","487"
"124","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1961","12","99","40","483","76","6615","495"
"127","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1281","15","65","78","479","137","4320","494"
"126","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1461","17","74","56","470","111","4927.5","487"
"130","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","941","10","48","51","481","90","3172.5","491"
"125","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1941","9","98","68","486","150","6547.5","495"
"133","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1341","12","68","67","477","127","4455","489"
"128","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1781","18","90","36","473","77","6007.5","491"
